ENTRY_PLATE,total_stays,centric_stays,duration,morn_stays,aft_stays,night_stays,stays_labo,stays_sat,stays_sun,recency,discount
00cf8f00daa9b6ba8449e1d062df1092d423ac31,1,1,18.600833333333327,0,1,0,0,1,0,56,0.0
00d1f714d38a0b600746fa4b4a450f01a85e9e3d,2,2,1.1958333333333333,1,1,0,2,0,0,47,0.0
00d32e06819f2ac7bc1e0b10213a08709aef9ba9,1,0,2.555555555555556,0,1,0,0,1,0,56,0.0
00d60d20dcec54b81acdbd0995ca2094a1bbe6d8,1,1,0.8813888888888889,1,0,0,1,0,0,45,0.0
00dc3e0b6e2b3c40b095c6cfad23e5bcb93a0abb,1,1,0.8261111111111111,1,0,0,1,0,0,46,0.0
00de461aa18e75b1ab488130d44ec84f11e33048,1,1,0.7236111111111111,0,1,0,1,0,0,51,0.0
00e0dff41a65cdb0fd0f870f208d1a49a30f8d63,19,1,29.91216374269006,8,8,3,13,4,2,40,0.0
00e1ab22f845aab0617f42fa6e85c22ba30d605f,1,1,0.1244444444444444,0,1,0,1,0,0,65,0.0
00e341caae85762e30e9071d8c7fa7c755928ea8,2,2,7.302361111111113,2,0,0,2,0,0,47,0.0
00e3bfe776c886816c9f6f7967d6df3a3103a7e9,1,1,0.7344444444444445,0,1,0,0,1,0,63,135.0
00e3ecd167620e65e08f66a4d731b29e3c20d687,1,1,0.4875,0,1,0,1,0,0,61,0.0
00edc4f4cd09cfb31db6ad98520677468a7fd6ad,6,4,2.1706481481481483,1,5,0,6,0,0,43,0.0
00f0aa1c0fcbb1ff5420e04a779d36ff9d562736,2,2,0.7573611111111112,0,2,0,2,0,0,53,0.0
00f17f23887d1387b87ed8bda35b60a1cb4d8178,1,1,0.1366666666666666,0,0,1,1,0,0,66,20.0
00f279d71508ad58ddf381c059b40bf3577655fe,4,2,1.17,4,0,0,4,0,0,44,0.0
00f37da6c5b5aaff51cfbd9989bbff2f0cc8f113,1,1,3.5219444444444443,0,0,1,0,1,0,55,0.0
00f6732f6aae7f3f6e43b1c3ca547ea6c4b047a7,1,0,6.608611111111111,0,1,0,0,1,0,42,0.0
00f91056db15c7efe160db5f1cc7eb56d37d860e,1,1,1.51,1,0,0,0,1,0,56,0.0
00fba8124bbe0b860b1ca4a16b366362bb967662,1,0,0.51,0,1,0,1,0,0,60,0.0
00fbdcedc16de737dc5a372090eb55eb3cc5711f,3,0,1.4733333333333334,3,0,0,3,0,0,47,0.0
00fc0351160a1e3e92c08509c2efe82cf0b842d9,1,0,8.768888888888887,1,0,0,1,0,0,45,0.0
00fd5d011e9ee539bf811395c079f82f8d8d4a5d,1,1,2.395833333333333,1,0,0,1,0,0,60,0.0
00fe25f1560fd5a5328c7dcd1e7cdee83904a8c1,2,2,0.6494444444444444,1,1,0,2,0,0,40,0.0
00fe507fd6c14c2264a8ec44e6f59f294900cd86,1,0,3.08,0,0,1,0,1,0,41,0.0
01006540ff5d94810bf55792a5a7080833ec447b,3,3,2.2052777777777783,2,1,0,3,0,0,51,66.66666666666667
010104f4f51155dd74c07697254ba3c3baceeca9,8,2,1.2345486111111108,7,1,0,7,1,0,40,25.0
